Mã Khách Hàng,Họ và Tên,Email,Số Điện Thoại
CUST-100001,Nguyễn Văn An 1,khachhang1@dataflow.vn,0910000137
CUST-100002,Trần Thị Bình 2,khachhang2@dataflow.vn,0910000274
CUST-100003,Lê Hoàng Nam 3,khachhang3@dataflow.vn,0910000411
CUST-100004,Phạm Minh Đức 4,khachhang4@dataflow.vn,0910000548
CUST-100005,Vũ Thị Mai 5,khachhang5@dataflow.vn,0910000685
CUST-100006,Đặng Quốc Huy 6,khachhang6@dataflow.vn,0910000822
CUST-100007,Hoàng Thu Trang 7,khachhang7@dataflow.vn,0910000959
CUST-100008,Bùi Thanh Tùng 8,khachhang8@dataflow.vn,0910001096
CUST-100009,Đỗ Hải Yến 9,khachhang9@dataflow.vn,0910001233
CUST-100010,Ngô Quang Minh 10,khachhang10@dataflow.vn,0910001370
CUST-100011,Dương Bảo Ngọc 11,khachhang11@dataflow.vn,0910001507
CUST-100012,Lý Gia Bảo 12,khachhang12@dataflow.vn,0910001644
CUST-100013,Mai Phương Thảo 13,khachhang13@dataflow.vn,0910001781
CUST-100014,Hồ Đình Trọng 14,khachhang14@dataflow.vn,0910001918
CUST-100015,Trịnh Thúy Hằng 15,khachhang15@dataflow.vn,0910002055
CUST-100016,Nguyễn Văn An 16,khachhang16@dataflow.vn,0910002192
CUST-100017,Trần Thị Bình 17,khachhang17@dataflow.vn,0910002329
CUST-100018,Lê Hoàng Nam 18,khachhang18@dataflow.vn,0910002466
CUST-100019,Phạm Minh Đức 19,khachhang19@dataflow.vn,0910002603
CUST-100020,Vũ Thị Mai 20,khachhang20@dataflow.vn,0910002740
CUST-100021,Đặng Quốc Huy 21,khachhang21@dataflow.vn,0910002877
CUST-100022,Hoàng Thu Trang 22,khachhang22@dataflow.vn,0910003014
CUST-100023,Bùi Thanh Tùng 23,khachhang23@dataflow.vn,0910003151
CUST-100024,Đỗ Hải Yến 24,khachhang24@dataflow.vn,0910003288
CUST-100025,Ngô Quang Minh 25,khachhang25@dataflow.vn,0910003425
CUST-100026,Dương Bảo Ngọc 26,khachhang26@dataflow.vn,0910003562
CUST-100027,Lý Gia Bảo 27,khachhang27@dataflow.vn,0910003699
CUST-100028,Mai Phương Thảo 28,khachhang28@dataflow.vn,0910003836
CUST-100029,Hồ Đình Trọng 29,khachhang29@dataflow.vn,0910003973
CUST-100030,Trịnh Thúy Hằng 30,khachhang30@dataflow.vn,0910004110
CUST-100031,Nguyễn Văn An 31,khachhang31@dataflow.vn,0910004247
CUST-100032,Trần Thị Bình 32,khachhang32@dataflow.vn,0910004384
CUST-100033,Lê Hoàng Nam 33,khachhang33@dataflow.vn,0910004521
CUST-100034,Phạm Minh Đức 34,khachhang34@dataflow.vn,0910004658
CUST-100035,Vũ Thị Mai 35,khachhang35@dataflow.vn,0910004795
